startupName,startupLinkedIn,startupSite
4GIFTERS,https://www.linkedin.com/company/4gifters,http://www.4gifters.com/
"AirWayBill, S.L.",https://www.linkedin.com/company/airwaybill-s.l.,https://www.airwaybill.com/
Atlas Biomed Group,https://www.linkedin.com/company/10787349/,https://atlasbiomed.com/
Averon,https://www.linkedin.com/company/averon,https://www.averon.com/
Azoomee,https://www.linkedin.com/company/azoomee,http://www.azoomee.com/
Bitmovin GmbH,https://www.linkedin.com/company/bitmovin,https://bitmovin.com/careers/
Bitwala.com,https://www.linkedin.com/company/bitwala,https://www.bitwala.com/
Bonaverde,https://www.linkedin.com/company/bonaverde,http://www.bonaverde.com/
Boostmi Technologies Inc,https://www.linkedin.com/company/boostmi-technologies,https://boostmi.com/
Botfuel,https://www.linkedin.com/company/10593826/,https://www.botfuel.io/
Bragi,https://www.linkedin.com/company/bragi,https://www.bragi.com/
Brigad,,https://brigad.co/
Buyandship,https://www.linkedin.com/company/www-buyandship-today,http://buyandship.today/
CallPage,https://www.linkedin.com/company/call-page,https://www.callpage.io/
Calm.com,https://www.linkedin.com/company/calm-com,https://www.calm.com/
Carpe Data,https://www.linkedin.com/company/carpedatacorp,https://carpe.io/
Cinchy,https://www.linkedin.com/company/cinchy,https://cinchy.co/
Clustaar,https://www.linkedin.com/company/3585623/,https://clustaar.com/
Codacy,https://www.linkedin.com/company/codacy,https://www.codacy.com/
Coinfirm,https://www.linkedin.com/company/coinfirm,https://www.coinfirm.com/
Coinify,https://www.linkedin.com/company/coinify,https://coinify.com/
Cosmo Tech,https://www.linkedin.com/company/18085933/,https://cosmotech.com/
Crello,https://www.linkedin.com/company/crello,https://crello.com/
data.world,https://www.linkedin.com/company/data.world,https://data.world/
Dbrain,https://www.linkedin.com/company/dbrainio,https://dbrain.io/
DefinedCrowd,https://www.linkedin.com/company/definedcrowd,https://www.definedcrowd.com/
Destygo,https://www.linkedin.com/company/destygo,http://www.destygo.com/
DigitalGenius,https://www.linkedin.com/company/3840963/,https://www.digitalgenius.com/
dotin.us,https://www.linkedin.com/company/10698682,http://dotin.us/
Eagle Genomics,https://www.linkedin.com/company/eagle-genomics-ltd-,https://www.eaglegenomics.com/
Easy Payment Gateway,https://www.linkedin.com/company/5041729/,http://easypaymentgateway.com/
ebankIT Omni-Channel Innovation,https://www.linkedin.com/company/ebankit,https://www.ebankit.com/
Effect.AI,https://www.linkedin.com/company/effectai,https://www.effect.ai/
ekar,,https://ekar.ae/
eSputnik,https://www.linkedin.com/company/esputnik,https://esputnik.com/
Exo Investing,https://www.linkedin.com/company/exoinvesting,https://exoinvesting.com/
FRVR,https://www.linkedin.com/company/frvr,https://www.frvr.com/
GenePlanet,https://www.linkedin.com/company/geneplanet,https://geneplanet.com/
Glovo,https://www.linkedin.com/company/glovo-app,https://glovoapp.com/
Gremlin,https://www.linkedin.com/company/gremlin-inc.,https://www.gremlin.com/
HiGuests,https://www.linkedin.com/company/10626098/,https://higuests.com/
Hivemind AG,https://www.linkedin.com/company/hivemindag,https://hivemind.ch/
Hostmaker,https://www.linkedin.com/company/hostmaker,https://www.hostmaker.com/
IgoriaCard,https://www.linkedin.com/company/igoriacard,https://www.igoriacard.com/
Introhive,https://www.linkedin.com/company/introhive,https://www.introhive.com/
Kantree,https://www.linkedin.com/company/digicoop,https://kantree.io/
Kuzzle,https://www.linkedin.com/company/kuzzle,http://kuzzle.io/
LiqEase,https://www.linkedin.com/company/liqease,https://liqease.com/
Lobster Ink,https://www.linkedin.com/company/lobster-ink,https://lobsterink.com/
Mapwize,https://www.linkedin.com/company/mapwize,https://www.mapwize.io/
Match2One,https://www.linkedin.com/company/match2one,https://www.match2one.com/
MedUX by Case on IT,https://www.linkedin.com/company/case-on-it,https://www.caseonit.com/
Mobacar,https://www.linkedin.com/company/mobacar,http://www.mobacar.com/
Mobrand,https://www.linkedin.com/company/mobrand,https://www.mobrand.com/
Monner,https://www.linkedin.com/company/monner,https://www.monnergroup.com/
Musement,https://www.linkedin.com/company/musement,https://www.musement.com/
Nekso,https://www.linkedin.com/company/nekso,https://www.nekso.io/
NFWare,https://www.linkedin.com/company/3859735/,http://nfware.com/
OKRA Technologies,https://www.linkedin.com/company/okra-technologies,https://okra.ai/
Omnicharge,https://www.linkedin.com/company/omnicharge,https://www.omnicharge.co/
Oros,,https://www.orosapparel.com/
Packlane,https://www.linkedin.com/company/packlane,https://packlane.com/
Paylater,https://www.linkedin.com/company/one-credit-limited,https://www.paylater.ng/
Paystack,https://www.linkedin.com/company/paystack,https://paystack.com/
Perfect Gym Solutions S.A.,https://www.linkedin.com/company/perfect-gym-solutions-s-a-,https://www.perfectgym.com/
Photomyne,https://www.linkedin.com/company/photomyne-ltd,https://photomyne.com/
Pledge 1%,,https://www.pledge1percent.org/
Replex,https://www.linkedin.com/company/replex-gmbh,https://replex.io/
Ridecell,https://www.linkedin.com/company/ridecell,https://ridecell.com/
SE Ranking,https://www.linkedin.com/company-beta/6073744,https://seranking.com/
Sensibo,https://www.linkedin.com/company/sensibo,https://sensibo.com/
sevDesk,https://www.linkedin.com/showcase/10129777/,https://sevdesk.com/
ShopAdvizor,https://www.linkedin.com/company/trialpanel,http://www.trialpanel.com/
Siteware,https://www.linkedin.com/company/siteware,https://www.siteware.com.br/
Slick,https://www.linkedin.com/company/gettingslick,https://getslick.com/
SMART GOVERNANCE,https://www.linkedin.com/company/smartgovernance,http://smartgovernance.com/
Smart Satu,,https://smartsatu.com/
Smartech,https://www.linkedin.com/company/smartechretail%20linkedin,https://www.smartech.buzz/
SoapBox Labs,https://www.linkedin.com/company/soapbox-labs,https://www.soapboxlabs.com/
Solides,https://www.linkedin.com/company/solides-tecnologia%C2%AE/?originalSubdomain=pt,http://www.solides.com/
Webware.io,https://www.linkedin.com/company/webware,https://www.webware.io/
Wed.biz - Instaeasy,https://www.linkedin.com/company/wedbiz,https://wed.biz/
Welever,https://www.linkedin.com/company/welever,https://welever.org/
Yescapa,https://www.linkedin.com/company/yescapa,https://yescapa.com/
Yroo,https://www.linkedin.com/company-beta/10410410,https://yroo.com/
zGlue Inc.,https://www.linkedin.com/company/zglue,http://www.zglue.com/
Zoobox,,https://zoobox.ie/
Zoom.ai,https://www.linkedin.com/company/zoom.ai,http://zoom.ai/
ZoomeTV,https://www.linkedin.com/company/zoometv,https://www.zoome.tv/
*JAUNTIN',,http://www.jauntin.com/
3DLOOK,https://www.linkedin.com/company/3dlook,https://3dlook.me/
42Maru,https://www.linkedin.com/company/42maru,https://www.42maru.com/
4Securitas / ACSIA.IO,https://www.linkedin.com/company/4securitas,https://acsia.io/
4VANTS,https://www.linkedin.com/company/4vants,http://www.4vants.com.br/
AAAccell Ltd,https://www.linkedin.com/company/aaaccell,http://aaaccell.ch/
AcademyOcean,https://www.linkedin.com/company/academyocean,https://academyocean.com/
adam.ai,https://www.linkedin.com/company/adam-ai,https://www.adam.ai/
Addreality,https://www.linkedin.com/company/addreality,https://addreality.com/
Adriel,https://www.linkedin.com/company/adrielai,https://www.adriel.ai/
Ads Flight,,https://ads-flight.com/
AdsYeah!,,http://adsyeah.com/
Advocado,https://www.linkedin.com/company/27090779,https://www.myadvocado.com/
AGAME.ai,https://www.linkedin.com/company/webuildbots,https://agame.ai/
aiconix.ai,https://de.linkedin.com/company/aiconix-ai,http://www.aiconix.de/
aifora GmbH,https://www.linkedin.com/company/aifora,https://www.aifora.com/
Air Wines,https://www.linkedin.com/company/air-wines,https://www.airwns.com/
Airit Chat App,https://www.linkedin.com/company/appairit,https://www.airitapp.com/
AISmart,,http://www.aismart.co/
Albam,https://www.linkedin.com/company/blue-night-corp,https://www.albam.net/en/
Alboom,https://www.linkedin.com/company/alboompro,https://www.alboompro.com/
ALLPRIV,,http://www.allpriv.com/
ambie　corporation,,http://ambie.co.jp/en/
Angee Technologies,https://www.linkedin.com/company/angee,https://www.meetangee.com/
ANTIADBLOCK.COM,https://www.linkedin.com/company/18156599/,https://www.antiadblock.com/
Antwork,https://www.linkedin.com/company/15183742/,http://antwork.com/
AnyExcuse,https://www.linkedin.com/company/anyexcusehq,https://anyexcuse.com/
Apiax,https://www.linkedin.com/company/apiax,https://www.apiax.com/
Apply Digital System,https://www.linkedin.com/company/apply-digital-systems,https://www.applyds.com/
Appy,https://www.linkedin.com/in/appy-angola-8a2667151/,http://www.appy.co.ao/
appyourself.com,https://www.linkedin.com/company/2737309/,https://www.appyourself.com/
Arianee,https://www.linkedin.com/company/arianee,https://arianee.org/
Armaks Group,https://www.linkedin.com/company/armaksgroup,http://www.armaksgroup.com/
